year,group,volume_tonnes,value_usd,share_pct
2015,Brazil,14856,52903636.0,14.86
2015,Vietnam,13822,28426845.0,13.83
2015,Colombia,8118,33043239.0,8.12
2015,Papua New Guinea,7444,25429455.0,7.45
2015,Honduras,3400,11495052.0,3.4
2015,India,6108,20101520.0,6.11
2015,Other countries,46222,309727290.0,46.24
2016,Brazil,16360,55494594.0,16.48
2016,Vietnam,15641,28380820.0,15.76
2016,Colombia,8220,32596411.0,8.28
2016,Papua New Guinea,8576,28050883.0,8.64
2016,Honduras,3336,10914403.0,3.36
2016,India,5397,15151084.0,5.44
2016,Other countries,41721,282562468.0,42.04
2017,Brazil,18719,62485309.595,18.11
2017,Vietnam,12764,30583771.127,12.35
2017,Colombia,10556,44231783.262,10.21
2017,Papua New Guinea,9166,29978344.232,8.87
2017,Honduras,4119,14113639.663,3.99
2017,India,7214,20761816.331,6.98
2017,Other countries,40819,315280793.429,39.49
2018,Brazil,18884,58303876.964,18.49
2018,Vietnam,18581,37100886.957,18.19
2018,Colombia,9845,38943334.108,9.64
2018,Papua New Guinea,7948,25302464.279,7.78
2018,Honduras,5738,17860061.467,5.62
2018,India,6998,19545879.068,6.85
2018,Other countries,34153,287612912.53000003,33.44
2019,Brazil,21446,58943851.079,20.08
2019,Vietnam,17569,33125677.124,16.45
2019,Colombia,11196,42754054.645,10.49
2019,Papua New Guinea,6605,19191803.521,6.19
2019,Honduras,6134,18225853.374,5.74
2019,India,5820,16128947.188,5.45
2019,Other countries,38008,271819240.244,35.6
2020,Brazil,21431,60591075.844,20.76
2020,Vietnam,15577,29280069.087,15.09
2020,Colombia,11902,49271847.364,11.53
2020,Papua New Guinea,5929,17720304.72,5.74
2020,Honduras,6436,20717297.622,6.23
2020,India,4939,13624490.693,4.78
2020,Other countries,37034,300015538.571,35.87
2021,Brazil,23698,72480263.464,21.72
2021,Vietnam,12238,22896766.504,11.22
2021,Colombia,12108,58600286.131,11.1
2021,Papua New Guinea,7716,28862285.255,7.07
2021,Honduras,7991,30783105.312,7.32
2021,India,6151,17480428.289,5.64
2021,Other countries,39218,298094943.196,35.94
2022,Brazil,26359,132711997.814,22.41
2022,Vietnam,21411,52091240.607,18.21
2022,Colombia,10811,70862253.421,9.19
2022,Papua New Guinea,7198,38400058.342,6.12
2022,Honduras,8206,44407609.258,6.98
2022,India,5696,20739672.925,4.84
2022,Other countries,37920,353352860.246,32.24
2023,Brazil,25142,112569223.755,23.43
2023,Vietnam,12762,34785969.41,11.89
2023,Colombia,11148,64858754.701,10.39
2023,Papua New Guinea,7997,35399049.709,7.45
2023,Honduras,7684,38887701.634,7.16
2023,India,5437,19685710.517,5.07
2023,Other countries,37120,331493437.476,34.6
2024,Brazil,28843,128210826.17,26.55
2024,Vietnam,14690,58854741.065,13.52
2024,Colombia,11204,66017079.702,10.31
2024,Papua New Guinea,7777,36558164.787,7.16
2024,Honduras,6075,29620156.034,5.59
2024,India,4985,22883112.648,4.59
2024,Other countries,35050,335477447.319,32.27
2025,Brazil,30352,216751485.801,24.71
2025,Vietnam,12409,71779177.044,10.1
2025,Colombia,16356,131900484.125,13.32
2025,Papua New Guinea,10253,73785466.806,8.35
2025,Honduras,7961,60930071.01,6.48
2025,India,5447,32310307.162,4.43
2025,Other countries,40042,433004926.393,32.6
