year,group,volume_tonnes,value_usd
2015,Brazil,14856,52903636.0
2015,Vietnam,13822,28426845.0
2015,Colombia,8118,33043239.0
2015,Papua New Guinea,7444,25429455.0
2015,Honduras,3400,11495052.0
2015,India,6108,20101520.0
2015,Other countries,46222,309727290.0
2016,Brazil,16360,55494594.0
2016,Vietnam,15641,28380820.0
2016,Colombia,8220,32596411.0
2016,Papua New Guinea,8576,28050883.0
2016,Honduras,3336,10914403.0
2016,India,5397,15151084.0
2016,Other countries,41721,282562468.0
2017,Brazil,18719,62485309.595
2017,Vietnam,12764,30583771.127
2017,Colombia,10556,44231783.262
2017,Papua New Guinea,9166,29978344.232
2017,Honduras,4119,14113639.663
2017,India,7214,20761816.331
2017,Other countries,40819,315280793.429
2018,Brazil,18884,58303876.964
2018,Vietnam,18581,37100886.957
2018,Colombia,9845,38943334.108
2018,Papua New Guinea,7948,25302464.279
2018,Honduras,5738,17860061.467
2018,India,6998,19545879.068
2018,Other countries,34153,287612912.53000003
2019,Brazil,21446,58943851.079
2019,Vietnam,17569,33125677.124
2019,Colombia,11196,42754054.645
2019,Papua New Guinea,6605,19191803.521
2019,Honduras,6134,18225853.374
2019,India,5820,16128947.188
2019,Other countries,38008,271819240.244
2020,Brazil,21431,60591075.844
2020,Vietnam,15577,29280069.087
2020,Colombia,11902,49271847.364
2020,Papua New Guinea,5929,17720304.72
2020,Honduras,6436,20717297.622
2020,India,4939,13624490.693
2020,Other countries,37034,300015538.571
2021,Brazil,23698,72480263.464
2021,Vietnam,12238,22896766.504
2021,Colombia,12108,58600286.131
2021,Papua New Guinea,7716,28862285.255
2021,Honduras,7991,30783105.312
2021,India,6151,17480428.289
2021,Other countries,39218,298094943.196
2022,Brazil,26359,132711997.814
2022,Vietnam,21411,52091240.607
2022,Colombia,10811,70862253.421
2022,Papua New Guinea,7198,38400058.342
2022,Honduras,8206,44407609.258
2022,India,5696,20739672.925
2022,Other countries,37920,353352860.246
2023,Brazil,25142,112569223.755
2023,Vietnam,12762,34785969.41
2023,Colombia,11148,64858754.701
2023,Papua New Guinea,7997,35399049.709
2023,Honduras,7684,38887701.634
2023,India,5437,19685710.517
2023,Other countries,37120,331493437.476
2024,Brazil,28843,128210826.17
2024,Vietnam,14690,58854741.065
2024,Colombia,11204,66017079.702
2024,Papua New Guinea,7777,36558164.787
2024,Honduras,6075,29620156.034
2024,India,4985,22883112.648
2024,Other countries,35050,335477447.319
2025,Brazil,30352,216751485.801
2025,Vietnam,12409,71779177.044
2025,Colombia,16356,131900484.125
2025,Papua New Guinea,10253,73785466.806
2025,Honduras,7961,60930071.01
2025,India,5447,32310307.162
2025,Other countries,40042,433004926.393
