year,month,month_name,turnover_million_aud
2020,6,Jun,3239.4
2020,7,Jul,3410.7
2020,8,Aug,3215.8
2020,9,Sep,3299.3
2020,10,Oct,3479.7
2020,11,Nov,3710.5
2020,12,Dec,3871.9
2021,1,Jan,3868.6
2021,2,Feb,3865.1
2021,3,Mar,4007.9
2021,4,Apr,4104.6
2021,5,May,4105.8
2021,6,Jun,3857.7
2021,7,Jul,3400.7
2021,8,Aug,3181.0
2021,9,Sep,3340.9
2021,10,Oct,3778.0
2021,11,Nov,4096.6
2021,12,Dec,4158.6
2022,1,Jan,4137.5
2022,2,Feb,4481.1
2022,3,Mar,4539.4
2022,4,Apr,4681.7
2022,5,May,4761.7
2022,6,Jun,4911.1
2022,7,Jul,4965.5
2022,8,Aug,5020.7
2022,9,Sep,5089.7
2022,10,Oct,5135.6
2022,11,Nov,5151.2
2022,12,Dec,5169.2
2023,1,Jan,5236.6
2023,2,Feb,5249.0
2023,3,Mar,5326.5
2023,4,Apr,5303.6
2023,5,May,5351.7
2023,6,Jun,5347.9
2023,7,Jul,5408.2
2023,8,Aug,5413.2
2023,9,Sep,5383.4
2023,10,Oct,5364.1
2023,11,Nov,5371.5
2023,12,Dec,5267.8
2024,1,Jan,5364.8
2024,2,Feb,5393.0
2024,3,Mar,5387.3
2024,4,Apr,5404.5
2024,5,May,5401.8
2024,6,Jun,5401.4
2024,7,Jul,5397.9
2024,8,Aug,5442.0
2024,9,Sep,5481.8
2024,10,Oct,5478.8
2024,11,Nov,5556.5
2024,12,Dec,5516.7
2025,1,Jan,5569.3
2025,2,Feb,5570.5
2025,3,Mar,5536.7
2025,4,Apr,5600.3
2025,5,May,5606.1
2025,6,Jun,5581.6
