country,year,species,production_bags_1000
Albania,2015,Arabica,0.0
Albania,2015,Robusta,0.0
Albania,2016,Arabica,0.0
Albania,2016,Robusta,0.0
Albania,2017,Arabica,0.0
Albania,2017,Robusta,0.0
Albania,2018,Arabica,0.0
Albania,2018,Robusta,0.0
Albania,2019,Arabica,0.0
Albania,2019,Robusta,0.0
Albania,2020,Arabica,0.0
Albania,2020,Robusta,0.0
Albania,2021,Arabica,0.0
Albania,2021,Robusta,0.0
Albania,2022,Arabica,0.0
Albania,2022,Robusta,0.0
Albania,2023,Arabica,0.0
Albania,2023,Robusta,0.0
Albania,2024,Arabica,0.0
Albania,2024,Robusta,0.0
Albania,2025,Arabica,0.0
Albania,2025,Robusta,0.0
Algeria,2015,Arabica,0.0
Algeria,2015,Robusta,0.0
Algeria,2016,Arabica,0.0
Algeria,2016,Robusta,0.0
Algeria,2017,Arabica,0.0
Algeria,2017,Robusta,0.0
Algeria,2018,Arabica,0.0
Algeria,2018,Robusta,0.0
Algeria,2019,Arabica,0.0
Algeria,2019,Robusta,0.0
Algeria,2020,Arabica,0.0
Algeria,2020,Robusta,0.0
Algeria,2021,Arabica,0.0
Algeria,2021,Robusta,0.0
Algeria,2022,Arabica,0.0
Algeria,2022,Robusta,0.0
Algeria,2023,Arabica,0.0
Algeria,2023,Robusta,0.0
Algeria,2024,Arabica,0.0
Algeria,2024,Robusta,0.0
Algeria,2025,Arabica,0.0
Algeria,2025,Robusta,0.0
Angola,2015,Arabica,0.0
Angola,2015,Robusta,25.0
Angola,2016,Arabica,0.0
Angola,2016,Robusta,20.0
Angola,2017,Arabica,0.0
Angola,2017,Robusta,19.0
Angola,2018,Arabica,0.0
Angola,2018,Robusta,20.0
Angola,2019,Arabica,0.0
Angola,2019,Robusta,32.0
Angola,2020,Arabica,0.0
Angola,2020,Robusta,30.0
Angola,2021,Arabica,0.0
Angola,2021,Robusta,30.0
Angola,2022,Arabica,0.0
Angola,2022,Robusta,20.0
Angola,2023,Arabica,0.0
Angola,2023,Robusta,30.0
Angola,2024,Arabica,0.0
Angola,2024,Robusta,45.0
Angola,2025,Arabica,0.0
Angola,2025,Robusta,50.0
Argentina,2015,Arabica,0.0
Argentina,2015,Robusta,0.0
Argentina,2016,Arabica,0.0
Argentina,2016,Robusta,0.0
Argentina,2017,Arabica,0.0
Argentina,2017,Robusta,0.0
Argentina,2018,Arabica,0.0
Argentina,2018,Robusta,0.0
Argentina,2019,Arabica,0.0
Argentina,2019,Robusta,0.0
Argentina,2020,Arabica,0.0
Argentina,2020,Robusta,0.0
Argentina,2021,Arabica,0.0
Argentina,2021,Robusta,0.0
Argentina,2022,Arabica,0.0
Argentina,2022,Robusta,0.0
Argentina,2023,Arabica,0.0
Argentina,2023,Robusta,0.0
Argentina,2024,Arabica,0.0
Argentina,2024,Robusta,0.0
Argentina,2025,Arabica,0.0
Argentina,2025,Robusta,0.0
Armenia,2015,Arabica,0.0
Armenia,2015,Robusta,0.0
Armenia,2016,Arabica,0.0
Armenia,2016,Robusta,0.0
Armenia,2017,Arabica,0.0
Armenia,2017,Robusta,0.0
Armenia,2018,Arabica,0.0
Armenia,2018,Robusta,0.0
Armenia,2019,Arabica,0.0
Armenia,2019,Robusta,0.0
Armenia,2020,Arabica,0.0
Armenia,2020,Robusta,0.0
Armenia,2021,Arabica,0.0
Armenia,2021,Robusta,0.0
Armenia,2022,Arabica,0.0
Armenia,2022,Robusta,0.0
Armenia,2023,Arabica,0.0
Armenia,2023,Robusta,0.0
Armenia,2024,Arabica,0.0
Armenia,2024,Robusta,0.0
Armenia,2025,Arabica,0.0
Armenia,2025,Robusta,0.0
Australia,2015,Arabica,0.0
Australia,2015,Robusta,0.0
Australia,2016,Arabica,0.0
Australia,2016,Robusta,0.0
Australia,2017,Arabica,0.0
Australia,2017,Robusta,0.0
Australia,2018,Arabica,0.0
Australia,2018,Robusta,0.0
Australia,2019,Arabica,0.0
Australia,2019,Robusta,0.0
Australia,2020,Arabica,0.0
Australia,2020,Robusta,0.0
Australia,2021,Arabica,0.0
Australia,2021,Robusta,0.0
Australia,2022,Arabica,0.0
Australia,2022,Robusta,0.0
Australia,2023,Arabica,0.0
Australia,2023,Robusta,0.0
Australia,2024,Arabica,0.0
Australia,2024,Robusta,0.0
Australia,2025,Arabica,0.0
Australia,2025,Robusta,0.0
Benin,2015,Arabica,0.0
Benin,2015,Robusta,0.0
Benin,2016,Arabica,0.0
Benin,2016,Robusta,0.0
Benin,2017,Arabica,0.0
Benin,2017,Robusta,0.0
Benin,2018,Arabica,0.0
Benin,2018,Robusta,0.0
Benin,2019,Arabica,0.0
Benin,2019,Robusta,0.0
Benin,2020,Arabica,0.0
Benin,2020,Robusta,0.0
Benin,2021,Arabica,0.0
Benin,2021,Robusta,0.0
Benin,2022,Arabica,0.0
Benin,2022,Robusta,0.0
Benin,2023,Arabica,0.0
Benin,2023,Robusta,0.0
Benin,2024,Arabica,0.0
Benin,2024,Robusta,0.0
Benin,2025,Arabica,0.0
Benin,2025,Robusta,0.0
Bolivia,2015,Arabica,80.0
Bolivia,2015,Robusta,0.0
Bolivia,2016,Arabica,75.0
Bolivia,2016,Robusta,0.0
Bolivia,2017,Arabica,85.0
Bolivia,2017,Robusta,0.0
Bolivia,2018,Arabica,85.0
Bolivia,2018,Robusta,0.0
Bolivia,2019,Arabica,85.0
Bolivia,2019,Robusta,0.0
Bolivia,2020,Arabica,80.0
Bolivia,2020,Robusta,0.0
Bolivia,2021,Arabica,85.0
Bolivia,2021,Robusta,0.0
Bolivia,2022,Arabica,90.0
Bolivia,2022,Robusta,0.0
Bolivia,2023,Arabica,70.0
Bolivia,2023,Robusta,0.0
Bolivia,2024,Arabica,85.0
