country,year,production_bags_1000,production_tonnes
Albania,2015,0.0,0.0
Albania,2016,0.0,0.0
Albania,2017,0.0,0.0
Albania,2018,0.0,0.0
Albania,2019,0.0,0.0
Albania,2020,0.0,0.0
Albania,2021,0.0,0.0
Albania,2022,0.0,0.0
Albania,2023,0.0,0.0
Albania,2024,0.0,0.0
Albania,2025,0.0,0.0
Algeria,2015,0.0,0.0
Algeria,2016,0.0,0.0
Algeria,2017,0.0,0.0
Algeria,2018,0.0,0.0
Algeria,2019,0.0,0.0
Algeria,2020,0.0,0.0
Algeria,2021,0.0,0.0
Algeria,2022,0.0,0.0
Algeria,2023,0.0,0.0
Algeria,2024,0.0,0.0
Algeria,2025,0.0,0.0
Angola,2015,25.0,1500.0
Angola,2016,20.0,1200.0
Angola,2017,19.0,1140.0
Angola,2018,20.0,1200.0
Angola,2019,32.0,1920.0
Angola,2020,30.0,1800.0
Angola,2021,30.0,1800.0
Angola,2022,20.0,1200.0
Angola,2023,30.0,1800.0
Angola,2024,45.0,2700.0
Angola,2025,50.0,3000.0
Argentina,2015,0.0,0.0
Argentina,2016,0.0,0.0
Argentina,2017,0.0,0.0
Argentina,2018,0.0,0.0
Argentina,2019,0.0,0.0
Argentina,2020,0.0,0.0
Argentina,2021,0.0,0.0
Argentina,2022,0.0,0.0
Argentina,2023,0.0,0.0
Argentina,2024,0.0,0.0
Argentina,2025,0.0,0.0
Armenia,2015,0.0,0.0
Armenia,2016,0.0,0.0
Armenia,2017,0.0,0.0
Armenia,2018,0.0,0.0
Armenia,2019,0.0,0.0
Armenia,2020,0.0,0.0
Armenia,2021,0.0,0.0
Armenia,2022,0.0,0.0
Armenia,2023,0.0,0.0
Armenia,2024,0.0,0.0
Armenia,2025,0.0,0.0
Australia,2015,0.0,0.0
Australia,2016,0.0,0.0
Australia,2017,0.0,0.0
Australia,2018,0.0,0.0
Australia,2019,0.0,0.0
Australia,2020,0.0,0.0
Australia,2021,0.0,0.0
Australia,2022,0.0,0.0
Australia,2023,0.0,0.0
Australia,2024,0.0,0.0
Australia,2025,0.0,0.0
Benin,2015,0.0,0.0
Benin,2016,0.0,0.0
Benin,2017,0.0,0.0
Benin,2018,0.0,0.0
Benin,2019,0.0,0.0
Benin,2020,0.0,0.0
Benin,2021,0.0,0.0
Benin,2022,0.0,0.0
Benin,2023,0.0,0.0
Benin,2024,0.0,0.0
Benin,2025,0.0,0.0
Bolivia,2015,80.0,4800.0
Bolivia,2016,75.0,4500.0
Bolivia,2017,85.0,5100.0
Bolivia,2018,85.0,5100.0
Bolivia,2019,85.0,5100.0
Bolivia,2020,80.0,4800.0
Bolivia,2021,85.0,5100.0
Bolivia,2022,90.0,5400.0
Bolivia,2023,70.0,4200.0
Bolivia,2024,85.0,5100.0
Bolivia,2025,80.0,4800.0
Bosnia and Herzegovina,2015,0.0,0.0
Bosnia and Herzegovina,2016,0.0,0.0
Bosnia and Herzegovina,2017,0.0,0.0
Bosnia and Herzegovina,2018,0.0,0.0
Bosnia and Herzegovina,2019,0.0,0.0
