country,year,production_bags_1000,production_tonnes
Angola,1960,2500.0,150000.0
Angola,1961,2800.0,168000.0
Angola,1962,2500.0,150000.0
Angola,1963,2691.0,161460.0
Angola,1964,2487.0,149220.0
Angola,1965,3057.0,183420.0
Angola,1966,3691.0,221460.0
Angola,1967,3458.0,207480.0
Angola,1968,3525.0,211500.0
Angola,1969,3368.0,202080.0
Angola,1970,2794.0,167640.0
Angola,1971,3880.0,232800.0
Angola,1972,4063.0,243780.0
Angola,1973,3547.0,212820.0
Angola,1974,3192.0,191520.0
Angola,1975,1100.0,66000.0
Angola,1976,1011.0,60660.0
Angola,1977,920.0,55200.0
Angola,1978,613.0,36780.0
Angola,1979,260.0,15600.0
Angola,1980,586.0,35160.0
Angola,1981,392.0,23520.0
Angola,1982,330.0,19800.0
Angola,1983,260.0,15600.0
Angola,1984,230.0,13800.0
Angola,1985,250.0,15000.0
Angola,1986,250.0,15000.0
Angola,1987,270.0,16200.0
Angola,1988,200.0,12000.0
Angola,1989,170.0,10200.0
Angola,1990,100.0,6000.0
Angola,1991,80.0,4800.0
Angola,1992,80.0,4800.0
Angola,1993,33.0,1980.0
Angola,1994,100.0,6000.0
Angola,1995,62.0,3720.0
Angola,1996,71.0,4260.0
Angola,1997,64.0,3840.0
Angola,1998,85.0,5100.0
Angola,1999,55.0,3300.0
Angola,2000,50.0,3000.0
Angola,2001,21.0,1260.0
Angola,2002,57.0,3420.0
Angola,2003,38.0,2280.0
Angola,2004,15.0,900.0
Angola,2005,25.0,1500.0
Angola,2006,35.0,2100.0
Angola,2007,30.0,1800.0
Angola,2008,30.0,1800.0
Angola,2009,30.0,1800.0
Angola,2010,25.0,1500.0
Angola,2011,35.0,2100.0
Angola,2012,29.0,1740.0
Angola,2013,31.0,1860.0
Angola,2014,30.0,1800.0
Angola,2015,25.0,1500.0
Angola,2016,20.0,1200.0
Angola,2017,19.0,1140.0
Angola,2018,20.0,1200.0
Angola,2019,32.0,1920.0
Angola,2020,30.0,1800.0
Angola,2021,30.0,1800.0
Angola,2022,20.0,1200.0
Angola,2023,30.0,1800.0
Angola,2024,45.0,2700.0
Angola,2025,50.0,3000.0
Benin,1960,36.0,2160.0
Benin,1961,30.0,1800.0
Benin,1962,18.0,1080.0
Benin,1963,20.0,1200.0
Benin,1964,12.0,720.0
Benin,1965,11.0,660.0
Benin,1966,18.0,1080.0
Benin,1967,7.0,420.0
Benin,1968,28.0,1680.0
Benin,1969,9.0,540.0
Benin,1970,21.0,1260.0
Benin,1971,43.0,2580.0
Benin,1972,9.0,540.0
Benin,1973,23.0,1380.0
Benin,1974,49.0,2940.0
Benin,1975,19.0,1140.0
Benin,1976,17.0,1020.0
Benin,1977,3.0,180.0
