iso_id,country,year,production_bags_1000,production_tonnes
24,Angola,2025,50.0,3000
68,Bolivia,2025,80.0,4800
76,Brazil,2025,63000.0,3780000
108,Burundi,2025,125.0,7500
120,Cameroon,2025,225.0,13500
156,China,2025,1900.0,114000
170,Colombia,2025,13800.0,828000
180,Congo (Kinshasa),2025,200.0,12000
188,Costa Rica,2025,1170.0,70200
384,Cote d'Ivoire,2025,1300.0,78000
192,Cuba,2025,100.0,6000
214,Dominican Republic,2025,125.0,7500
218,Ecuador,2025,350.0,21000
222,El Salvador,2025,500.0,30000
231,Ethiopia,2025,11560.0,693600
320,Guatemala,2025,3540.0,212400
324,Guinea,2025,190.0,11400
340,Honduras,2025,5800.0,348000
356,India,2025,6050.0,363000
360,Indonesia,2025,12450.0,747000
388,Jamaica,2025,20.0,1200
404,Kenya,2025,850.0,51000
418,Laos,2025,430.0,25800
450,Madagascar,2025,300.0,18000
458,Malaysia,2025,1500.0,90000
484,Mexico,2025,3903.0,234180
558,Nicaragua,2025,2580.0,154800
591,Panama,2025,80.0,4800
598,Papua New Guinea,2025,950.0,57000
604,Peru,2025,4200.0,252000
608,Philippines,2025,450.0,27000
646,Rwanda,2025,350.0,21000
694,Sierra Leone,2025,60.0,3600
834,Tanzania,2025,1450.0,87000
764,Thailand,2025,900.0,54000
768,Togo,2025,85.0,5100
800,Uganda,2025,6875.0,412500
840,United States,2025,50.0,3000
862,Venezuela,2025,500.0,30000
704,Vietnam,2025,30800.0,1848000
