typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","99976012","false","-1","N/A",,"false","99976012","false",,"false",,"481127037","481127037","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","36","AUS","Australia","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6293","false","-1","N/A",,"false","6293","false",,"false",,"88764","88764","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","40","AUT","Austria","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14967","false","-1","N/A",,"false","14967","false",,"false",,"191939","191939","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","56","BEL","Belgium","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","144651","false","-1","N/A",,"false","144651","false",,"false",,"688602","688602","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","68","BOL","Bolivia (Plurinational State of)","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","52106","false","-1","N/A",,"false","52106","false",,"false",,"325090","325090","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","70","BIH","Bosnia Herzegovina","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20948","false","-1","N/A",,"false","20948","false",,"false",,"73821","73821","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","76","BRA","Brazil","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14856006","false","-1","N/A",,"false","14856006","false",,"false",,"52903636","52903636","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","84","BLZ","Belize","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","38400","false","-1","N/A",,"false","38400","false",,"false",,"136580","136580","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","104","MMR","Myanmar","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","16247","false","-1","N/A",,"false","16247","false",,"false",,"10449","10449","0","true","false",
"C","A","20150101","2015","52","2015","36","AUS","Australia","M","Import","108","BDI","Burundi","0","W00","World","H4","HS","true","0901","Coffee, whether or not roasted or decaffeinated; husks and skins; coffee substitutes containing coffee in any proportion","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","81497","false","-1","N/A",,"false","81497","false",,"false",,"523296","523296","0","true","false",
