date,series,index,yoy_pct
2025-04,All groups CPI,98.68,2.4
2025-04,Food and beverages,99.27,3.2
2025-04,Coffee tea & cocoa,92.11,7.2
2025-05,All groups CPI,98.2,2.1
2025-05,Food and beverages,99.38,2.9
2025-05,Coffee tea & cocoa,92.72,8.4
2025-06,All groups CPI,98.34,1.9
2025-06,Food and beverages,99.81,3.5
2025-06,Coffee tea & cocoa,95.6,12.6
2025-07,All groups CPI,99.63,3.0
2025-07,Food and beverages,100.16,3.1
2025-07,Coffee tea & cocoa,97.71,14.4
2025-08,All groups CPI,99.55,3.2
2025-08,Food and beverages,100.26,3.0
2025-08,Coffee tea & cocoa,97.73,13.9
2025-09,All groups CPI,100.0,3.6
2025-09,Food and beverages,100.0,3.2
2025-09,Coffee tea & cocoa,100.0,15.7
2025-10,All groups CPI,99.99,3.8
2025-10,Food and beverages,100.15,3.2
2025-10,Coffee tea & cocoa,99.49,16.4
2025-11,All groups CPI,100.01,3.4
2025-11,Food and beverages,100.53,3.3
2025-11,Coffee tea & cocoa,100.31,15.2
2025-12,All groups CPI,100.97,3.8
2025-12,Food and beverages,100.91,3.4
2025-12,Coffee tea & cocoa,103.13,15.3
2026-01,All groups CPI,101.33,3.8
2026-01,Food and beverages,101.42,3.1
2026-01,Coffee tea & cocoa,100.46,13.5
2026-02,All groups CPI,101.31,3.7
2026-02,Food and beverages,101.28,3.1
2026-02,Coffee tea & cocoa,100.32,11.4
2026-03,All groups CPI,102.44,4.6
2026-03,Food and beverages,101.96,3.1
2026-03,Coffee tea & cocoa,100.05,10.7
