year,au_imports_tonnes,au_imports_value_usd,au_unit_price_usd,arabica_price_usd_kg,robusta_price_usd_kg
2015,99970.0,481127037.0,4812.71,3.53,1.94
2016,99251.0,453150663.0,4565.7,3.61,1.95
2017,103357.0,517435458.0,5006.29,3.32,2.23
2018,102147.0,484669415.0,4744.82,2.93,1.87
2019,106778.0,460189427.0,4309.78,2.88,1.62
2020,103248.0,491220624.0,4757.68,3.32,1.52
2021,109120.0,529198078.0,4849.69,4.51,1.98
2022,117601.0,712565693.0,6059.18,5.63,2.29
2023,107290.0,637679847.0,5943.52,4.54,2.63
2024,108624.0,677621528.0,6238.23,5.62,4.41
2025,122820.0,1020461918.0,8308.6,8.47,4.86
